file_name,question,answer,label
EXPD_2018,what is the difference in percentage of cumulative total return between expeditors international of washington inc . and the standard and poor's 500 index for the 5 year period ending 12/18?,"18.25% , 18.25","performance_summary,financial_statement,financial_statement_note"
EXPD_2018,what is the difference in percentage of cumulative total return between expeditors international of washington inc . and the nasdaq industrial transportation ( nqusb2770t ) for the 5 year period ending 12/18?,"13.63%, 13.63","performance_summary,financial_statement,segment_business_review"
EXPD_2018,what is the highest return rate for the first year of the investment?,21.41%21.41,"performance_summary,financial_statement,financial_statement_note"
AMAT_2018,what portion of company's property is located in united states?,"59.7%, 0.597","segment_business_review,financial_statement_note,financial_statement"
AMAT_2018,what portion of total company used area is company owned?,"74.5%, 0.74499","financial_statement,financial_statement_note,segment_business_review"
AMAT_2018,what percentage of buildings are owned in the united states by the company?,"81.4%, 0.81372","financial_statement_note,segment_business_review,financial_statement"
AMAT_2018,what is the roi for applied materials if the investment made on october 2013 was sold 2 years later?,"-3.3%, -0.0333","financial_statement,financial_statement_note,performance_summary"
AMAT_2018,what is the roi for applied materials if the investment made on october 2013 was sold 5 years later?,"98.27%, 0.9827","performance_summary,financial_statement,financial_statement_note"
ADBE_2018,what is the average yearly amortization expense related to purchased technology?,"16.7%, 16.66667","financial_statement,financial_statement_note"
ADBE_2018,what is the estimated yearly amortization expense related to trademarks?,36500,"financial_statement,financial_statement_note,manager_discussion"
ADBE_2018,what is the average yearly amortization expense related to trademarks?,"11.1%, 11.11111","financial_statement,financial_statement_note,manager_discussion"
ADBE_2018,goodwill is what percent of total estimated purchase price for Marketo ?,"73.0%, 0.73048","financial_statement_note,financial_statement,segment_business_review"
ADBE_2018,what is the average volatility used to value employee stock purchase rights in 2018?,"27.5%, 0.275","financial_statement_note,manager_discussion,risk_factors"
ADBE_2018,what is the total in millions for goodwill for purchased technology and backlog?,550300,"financial_statement,financial_statement_note"
ADBE_2018,what portion of the presented investments is due within 24 months?|,"74.2%, 0.74158","financial_statement,financial_statement_note"
ADBE_2018,what are the st investments due between two and three years and due after three years?,409.9,"financial_statement,financial_statement_note"
ADBE_2018,what portion of the total estimated purchase price is dedicated to goodwill?,"73.0%, 0.73048","financial_statement,financial_statement_note,manager_discussion"
ADBE_2018,what portion of the presented investments is due within 12 months?,"38.6%, 0.38589","financial_statement,financial_statement_note,segment_business_review"
ADBE_2018,was the weighted average useful life for trademarks greater than that of acquired rights to use technology?,no,"financial_statement_note,financial_statement,segment_business_review"
ADBE_2018,for the weighted average useful lives of our intangible assets what was the average weighted average useful life ( years ) for purchased technology and customer contracts and relationships?,7.5,"financial_statement_note,financial_statement,manager_discussion"
ADBE_2018,what is the average volatility used to value employee stock purchase rights in 2017?,"44.5%, 0.445","financial_statement_note,manager_discussion,financial_statement"
ADBE_2018,what is the percentage change in total gross amount of unrecognized tax benefits from 2017 to 2018?,"13.4%, 0.13419","financial_statement,financial_statement_note,legal_compliance"
ADBE_2018,for fiscal 2018 what percentage of the total change in the valuation allowance was due to settlements with taxing authorities?,0,"financial_statement_note,financial_statement,manager_discussion"
ADBE_2018,what is the combined amount of accrued interest and penalties related to tax positions taken on our tax returns in millions for fiscal 2018 and 2017?|,48.2,"financial_statement_note,financial_statement,legal_compliance"
ADBE_2018,what is the percentage change in total gross amount of unrecognized tax benefits from 2016 to 2017?,"-3.1%, -0.03065","financial_statement,financial_statement_note"
