1706.09147,What is the new initialization method proposed in this paper?,They initialize their word and entity embeddings with vectors pre-trained over a large corpus of unlabeled data.,result_discussion,"Training our model implicitly embeds the vocabu-
lary of words and collection of entities in a common space. However, we found that explicitly
initializing these embeddings with vectors pre-
trained over a large collection of unlabeled data
significantly improved performance."
1706.09147,How was a quality control performed so that the text is noisy but the annotations are accurate?,The authors believe that the Wikilinks corpus  contains ground truth annotations while being noisy. They discard mentions that cannot have ground-truth verified by comparison with Wikipedia., methodology,"We prepare our dataset from the local-context
version of Wikilinks1, and resolve ground-truth
links using a Wikipedia dump from April 20162
.
We use the page and redirect tables for resolution,
and keep the database pageid column as a unique
identifier for Wikipedia entities. We discard men-
tions where the ground-truth could not be resolved
(only 3% of mentions)."
1706.09673,Which dataset do they use?,"Paraphrase Database (PPDB) ,  book corpus",methodology,"Motivation: In recent times, building represen-
tation models based on supervision from richly
structured resources such as Paraphrase Database
(PPDB) (Ganitkevitch et al., 2013) (containing noisy phrase pairs) has yielded high quality sen-
tence representations. These methods work by
maximizing the similarity of the sentences in the
learned semantic space.Models: Skip-thought vectors (Kiros et al., 2015)
(STV) is a widely popular sentence encoder,
which is trained to predict adjacent sentences in
the book corpus (Zhu et al., 2015)."
1706.09673,Do they evaluate their learned representations on downstream tasks?,No|,future_work,"Interpreting the tweet representations to un-
earth the encoded features responsible for
its performance on a downstream task is an
important, but a less studied research area.
(Ganesh et al., 2016)Õs work is the first to
open the blackbox of vector embeddings for
tweets. They propose elementary property
prediction tasks which predicts the accuracy
to which a given tweet representation en-
codes the elementary property (like slang
words, hashtags, mentions, etc). The main
drawback of the work is that they fail to cor-
relate their study with downstream applica-
tions. We believe performing such a correla-
tion study can clearly highlight the set of el-
ementary features behind the performance of
a particular representation model over other
for a given downstream task."
1706.09673,How do they encourage understanding of literature as part of their objective function?,"They group the existing works in terms of the objective function they optimize - within-tweet relationships, inter-tweet relationships, autoencoder, and weak supervision",methodology,"There are various models spanning across differ-
ent model architectures and objective functions in
the literature to compute tweet representation in
an unsupervised fashion. These models work in a
semi-supervised way - the representations gener-
ated by the model is fed to an off-the-shelf pre-
dictor like Support Vector Machines (SVM) to
solve a particular downstream task. These mod-
els span across a wide variety of neural network
based architectures including average of word vec-
tors, convolutional-based, recurrent-based and so
on. We believe that the performance of these mod-
els is highly dependent on the objective function
it optimizes Ð predicting adjacent word (within-
tweet relationships), adjacent tweet (inter-tweet
relationships), the tweet itself (autoencoder), mod-eling from structured resources like paraphrase
databases and weak supervision."
1707.00110,Which baseline methods are used?,Standard parametrized attention and a non-attention baseline,experiment,"For the attention
baseline, we use the standard parametrized attention
(Bahdanau et al., 2014). Dropout of 0.2 (0.8 keep
probability) is applied to the input of each cell and
we optimize using Adam (Kingma and Ba, 2014) at
a learning rate of 0.0001 and batch size 128. We train
for at most 200,000 steps (see Figure 3 for sample
learning curves). The results with and without position encodings are
almost identical on the toy data. Our technique learns
to fit the data as well as the standard attention mecha-
nism despite having less representational power. Both
beat the non-attention baseline by a significant margin."
1707.00110,Which datasets are used in experiments?,Sequence Copy Task and WMT'17,experiment,"For this purpose we use 4 large machine translation
datasets of WMTÕ175 on the following language
pairs: English-Czech (en-cs, 52M examples), English-
German (en-de, 5.9M examples), English-Finish
(en-fi, 2.6M examples), and English-Turkish (en-tr,
207,373 examples). We used the newly available pre-processed datasets for the WMTÕ17 task. To investigate the trade-off between
speed and performance, we compare our technique
to standard models with and without attention on a
Sequence Copy Task of varying length like in Graves
et al. (2014)."
1707.00995,What misbehavior is identified?,"""if the attention loose track of the objects in the picture and â€˜gets lostâ€™ the model still takes it into account and somehow overrides the information brought by the text-based annotations""",result_discussion,"Yet, we noticed a common
misbehavior for all our multimodal models: if the
attention loose track of the objects in the picture
and Ógets lostÓ, the model still takes it into account
and somehow overrides the information brought
by the text-based annotations. "
1707.00995,Which attention mechanisms do they compare?,Soft attention Hard Stochastic attention Local Attention| | ,background,"3.1 Soft attention
Soft attention has firstly been used for syntactic
constituency parsing by Vinyals et al. (2015) but
has been widely used for translation tasks ever
since. One should note that it slightly differs
from Bahdanau et al. (2014) where their attention
takes as input the previous decoder hidden state
instead of the current (intermediate) one as shown
in equation 7. This mechanism has also been
successfully investigated for the task of image
description generation (Xu et al., 2015) where
a model generates an imageÕs description in
natural language. It has been used in multimodal
translation as well (Calixto et al., 2017), for which
it constitutes a state-of-the-art.3.2 Hard Stochastic attention
This model is a stochastic and sampling-based
process where, at every timestep t, we are making
a hard choice to attend only one annotation. This
corresponds to one spatial location in the image.
Hard attention has previously been used in the
context of object recognition (Mnih et al., 2014;
Ba et al., 2015) and later extended to image
description generation (Xu et al., 2015). In the
context of multimodal NMT, we can follow Xu
et al. (2015) because both our models involve the
same process on images."
1706.08198,Is pre-training effective in their evaluation?,Yes|,conclusion,"In this paper, we evaluated the encoder-decoder-
reconstructor on English-Japanese and Japanese-
English translation tasks. In addition, we evaluate
the effectiveness of pre-training by comparing it
with a jointly-trained model of forward translation
and back-translation. Experimental results show
that the encoder-decoder-reconstructor offers sig-
nificant improvement in BLEU scores and allevi-
ates the problem of repeating and missing words
in the translation on English-Japanese translation
task, and the encoder-decoder-reconstructor can
not be trained well without pre-training, so it
proves that we have to train the forward transla-
tion model in a manner similar to the conventional
attention-based NMT as pre-training."
